company,date,roa,roe
3M,2023-12-31,-0.138295769078687,-1.4551695444144
3M,2022-12-31,0.124356904531267,0.392405923108273
3M,2021-12-31,0.125786029911625,0.39352651867606
3M,2020-12-31,,
3M,2024-12-31,0.104670412360791,1.08615304528891
ANZ,2024-09-30,0.00531683365673676,0.0935482485649255
ANZ,2021-09-30,0.00629509724096574,0.0967878740281159
ANZ,2022-09-30,0.00655688482116624,0.108015840502526
ANZ,2023-09-30,0.00642702933948842,0.102251960572703
ANZ,2020-09-30,,
Apple,2020-09-30,,
Apple,2022-09-30,0.282924409292569,1.96958872750237
Apple,2023-09-30,0.275098345637765,1.56076014546391
Apple,2024-09-30,0.256825031508576,1.64593503072871
Apple,2021-09-30,0.269742052751836,1.50071326676177
Applied Materials,2021-10-31,0.227996127783156,0.480770801012493
Applied Materials,2023-10-31,0.223111718572033,0.419352865618692
Applied Materials,2022-10-31,0.244144278979271,0.53509922912908
Applied Materials,2020-10-31,,
Applied Materials,2024-10-31,0.208579150803569,0.377716962265144
Bank Of China,2023-12-31,0.00715043207413282,0.0881928572243498
Bank Of China,2021-12-31,0.00810402266143081,0.0973231953038735
Bank Of China,2020-12-31,0.00790364689356189,0.0946174461678389
Bank Of China,2022-12-31,0.00783988176183832,0.0934507108783802
Bioceres,2023-06-30,0.022956623388843,0.0628404791499719
Bioceres,2022-06-30,-0.0138929662781042,-0.0564169425745197
Bioceres,2021-06-30,-0.0174108916816654,-0.101414735952554
Bioceres,2020-06-30,,
Bioceres,2024-06-30,0.00381290020658105,0.0103204710251647
Capgemini,2021-12-31,0.0481421378937295,0.136648163458132
Capgemini,2020-12-31,0.0435911451216179,0.156808127150582
Capgemini,2022-12-31,0.0607166686290671,0.159041842294644
Capgemini,2023-12-31,0.0673279352226721,0.159077864932083
Citibank,2020-12-31,,
Citibank,2024-12-31,0.00538984124150798,0.0607963642987948
Citibank,2023-12-31,0.00382613397107761,0.0449153821068566
Citibank,2022-12-31,0.00614273489702385,0.0737863402074666
Citibank,2021-12-31,0.00958011497709055,0.108688333036262
DataDog,2023-12-31,0.0123392051771411,0.0239800054706486
DataDog,2022-12-31,-0.0166930018516719,-0.0355617314366131
DataDog,2024-12-31,0.0317606280288847,0.067693967240196
DataDog,2021-12-31,-0.00871347962066437,-0.0199240686014159
DataDog,2020-12-31,,
DBS,2022-12-31,0.0110214590889035,0.144022360117426
DBS,2020-12-31,,
DBS,2021-12-31,0.00991876957699837,0.118294336473942
DBS,2023-12-31,0.0136101533746066,0.162120357689519
DBS,2024-12-31,0.0136469302566793,0.164117698368854
Enel,2023-12-31,0.0535297201170224,0.142475121159079
Enel,2022-12-31,0.105522215203973,0.305594548592424
Enel,2021-12-31,0.00896327037069065,0.0274879237258537
Enel,2020-12-31,-0.00643437229921225,-0.0151735055969291
Genex,2021-03-31,0.0501068559161083,0.0687871551426694
Genex,2020-03-31,,
Genex,2024-03-31,0.0555027337056924,0.0710025236906149
Genex,2023-03-31,0.050743434200052,0.065754709126124
Genex,2022-03-31,0.0463419290887232,0.0611738060658232
Hanwha Solutions,2020-12-31,0.0204181874824196,0.0521288288575965
Hanwha Solutions,2023-12-31,-0.00849526561809617,-0.026514738227471
Hanwha Solutions,2022-12-31,0.015069990810397,0.0402604586316257
Hanwha Solutions,2021-12-31,0.0309408162390675,0.0758694286976823
IBM,2024-12-31,0.0439074175323492,0.220566155198301
IBM,2023-12-31,0.0554713437493068,0.332933919140816
IBM,2022-12-31,0.0128887247235604,0.0747356908494349
IBM,2021-12-31,0.043499670457042,0.303793450082006
IBM,2020-12-31,,
Infosys,2022-03-31,0.19048537447766,0.298058545417966
Infosys,2020-03-31,,
Infosys,2024-03-31,0.191672214488894,0.299933705843356
Infosys,2023-03-31,0.194683908045977,0.325010902747492
Infosys,2021-03-31,0.176256323777403,0.250239417736066
Itau,2021-12-31,0.0129324968127871,0.17505756751099
Itau,2023-12-31,0.0130175769729857,0.174074677800155
Itau,2020-12-31,0.00935792529011995,0.132146328841272
Itau,2022-12-31,0.012583442263167,0.174144541101975
Johnson Controls,2022-09-30,0.0363394847952939,0.0941726088025572
Johnson Controls,2023-09-30,0.0437716017234032,0.111755817467513
Johnson Controls,2024-09-30,0.0399344185501815,0.105913778109082
Johnson Controls,2020-09-30,,
Johnson Controls,2021-09-30,0.0390785390307949,0.09321261815283
Lenovo,2021-03-31,0.0318720423464406,0.340215440360817
Lenovo,2024-03-31,0.0260769321963015,0.18101015065938
Lenovo,2020-03-31,,
Lenovo,2023-03-31,0.0413083156584277,0.287730846393526
Lenovo,2022-03-31,0.0456031847267127,0.406725070677322
LG Electronics,2023-12-31,0.0118342067641772,0.0362527799737541
LG Electronics,2020-12-31,0.0408331825339716,0.127503287449393
LG Electronics,2021-12-31,0.0192909777100775,0.0598764654342847
LG Electronics,2022-12-31,0.0216919091565887,0.0629967984596549
Marvell,2024-01-31,-0.0439691923593283,-0.0629340453362461
Marvell,2025-01-31,-0.0438021232893662,-0.0659119684218366
Marvell,2022-01-31,-0.0190423636051129,-0.0268117003458136
Marvell,2021-01-31,,
Marvell,2023-01-31,-0.0072595361888989,-0.0104558360831862
Mencast,2023-12-31,0.00807213538645141,0.047484399375975
Mencast,2024-12-31,0.0137627728089939,0.0725315582741147
Mencast,2020-12-31,,
Mencast,2021-12-31,0.0299150209345399,0.217801572695332
Mencast,2022-12-31,-0.00205906635764093,-0.0141955835962145
Morgan Stanley,2021-12-31,0.0126533910145269,0.142582107529329
Morgan Stanley,2020-12-31,,
Morgan Stanley,2024-12-31,0.0110199321685729,0.128120484925032
Morgan Stanley,2023-12-31,0.00761251008425114,0.0917526605949232
Morgan Stanley,2022-12-31,0.00934478080985841,0.110134710058817
MPMaterials,2020-12-31,,
MPMaterials,2024-12-31,-0.0280361576613909,-0.0620203245866828
MPMaterials,2023-12-31,0.0104033808526775,0.0177971692345541
MPMaterials,2022-12-31,0.129147233405145,0.220171045394223
MPMaterials,2021-12-31,0.0714607766663527,0.133868064064588
Nordson,2024-10-31,0.0778681298977531,0.159363370475058
Nordson,2022-10-31,0.134306972483068,0.223635194769817
Nordson,2021-10-31,0.119855624998516,0.210440316238485
Nordson,2023-10-31,0.0928245144018112,0.187637313995828
Nordson,2020-10-31,,
Origin,2022-12-31,0.159143204375127,0.208458364839946
Origin,2021-12-31,0.0824619869636004,0.138677473559356
Origin,2020-12-31,-0.638891817242615,-246.357723577236
Origin,2023-12-31,0.0515293373809637,0.0563256940121702
petrobras,2022-12-31,0.195645089774615,0.52701030334427
petrobras,2021-12-31,0.113996145639755,0.286354402293717
petrobras,2020-12-31,0.00600494710804694,0.0192255846869313
petrobras,2023-12-31,0.114637416097334,0.316658819337516
Pfizer,2022-12-31,0.159083187545955,0.327949739183157
Pfizer,2020-12-31,,
Pfizer,2021-12-31,0.121112433600035,0.284698384735949
Pfizer,2023-12-31,0.00935536708447203,0.0238052441189026
Pfizer,2024-12-31,0.0376342574368779,0.0910513247848713
RioTinto,2024-12-31,0.112388846730099,0.20910111139268
RioTinto,2021-12-31,0.20520719950241,0.41054207497278
RioTinto,2023-12-31,0.0971327584042337,0.184259700289452
RioTinto,2022-12-31,0.128050922768512,0.24473673816013
RioTinto,2020-12-31,,
SASOL,2024-06-30,-0.121297057373007,-0.309576588231181
SASOL,2022-06-30,0.0928523077216433,0.206528366105936
SASOL,2020-06-30,,
SASOL,2021-06-30,0.025037214859332,0.0616565066318973
SASOL,2023-06-30,0.0202817641608158,0.0446867509039938
Soltec,2021-12-31,0.054911084498959,0.0904102707660918
Soltec,2020-12-31,,
Soltec,2023-12-31,-0.0658192651916532,-0.163000381337256
Soltec,2022-12-31,-0.0878971835633456,-0.186802911678512
Soltec,2024-12-31,-0.133168803162813,-0.371727370499382
Thong Guan,2024-12-31,0.0483218898085636,0.0736524693744224
Thong Guan,2020-12-31,,
Thong Guan,2021-12-31,0.0762680269807302,0.126568547288089
Thong Guan,2022-12-31,0.0766233825971362,0.121730446008818
Thong Guan,2023-12-31,0.050713720884881,0.0768378250550079
WiseTech Global,2022-06-30,0.117042380522994,0.148038321167883
WiseTech Global,2021-06-30,0.0772198014143867,0.0977396021699819
WiseTech Global,2020-06-30,,
WiseTech Global,2023-06-30,0.0798164447453547,0.112008445500132
WiseTech Global,2024-06-30,0.092957447561105,0.118731363513147
